"SpeciesID"	"Plot"	"Pheno.Event"	"MinDOY"	"MeanDOY"	"MaxDOY"
"116"	"Coccoidea"	"Art5"	"Onset"	185.099203350939	202.867018308646	211.955387868321
"117"	"Coccoidea"	"Art5"	"Peak"	202.666566490207	213.555489348382	220.213150586983
"118"	"Coccoidea"	"Art7"	"End"	215.120112866902	223.287720580754	232.31820028085
"119"	"Coccoidea"	"Art7"	"Onset"	171.772201457556	192.586289896206	204.462095991347
"120"	"Coccoidea"	"Art7"	"Peak"	199.711133620153	207.702378943394	217.096466686088
"121"	"Collembola"	"Art1"	"End"	208.330772399699	221.92014181085	230.539386355999
"122"	"Collembola"	"Art1"	"Onset"	161.804459972929	177.327399557554	195.55636494234
"123"	"Collembola"	"Art1"	"Peak"	181.149166922949	198.786045373918	214.43048183381
"124"	"Collembola"	"Art2"	"End"	203.759308287828	215.268137840135	228.597425519063
"125"	"Collembola"	"Art2"	"Onset"	155.515813844164	169.252530902938	184.401444808243
"126"	"Collembola"	"Art2"	"Peak"	165.872511389772	188.545768938455	205.611053513493
"127"	"Collembola"	"Art3"	"End"	204.533997184849	222.250046002813	235.41410833081
"128"	"Collembola"	"Art3"	"Onset"	157.081685978655	176.406134449142	212.695805928107
"129"	"Collembola"	"Art3"	"Peak"	174.232774702993	197.833893040937	226.742517153078
"130"	"Collembola"	"Art4"	"End"	209.105176707936	222.076167921663	233.648913234318
"131"	"Collembola"	"Art4"	"Onset"	161.917249384398	178.320899725633	201.557892820307
"132"	"Collembola"	"Art4"	"Peak"	183.710764432068	199.409620881896	219.404807802348
"133"	"Collembola"	"Art5"	"End"	191.154719055294	213.039666764998	231.315481620463
"134"	"Collembola"	"Art5"	"Onset"	156.313004474657	169.761794757474	186.426362494906
"135"	"Collembola"	"Art5"	"Peak"	172.796595814687	190.146459045446	206.669980124776
"136"	"Collembola"	"Art6"	"End"	196.634278357192	223.321028320916	235.736970874441
"137"	"Collembola"	"Art6"	"Onset"	172.510028860124	195.575600258898	226.328585944913
"138"	"Collembola"	"Art6"	"Peak"	185.087896658028	208.726344613818	231.044282124808
"139"	"Collembola"	"Art7"	"End"	191.500747598881	216.24790037208	234.65047591342
"140"	"Collembola"	"Art7"	"Onset"	157.403453141482	168.61860391518	184.471835284007
"141"	"Collembola"	"Art7"	"Peak"	172.295404931189	192.6774435337	217.00833515633
"142"	"Culicidae"	"Art1"	"End"	193.418699874182	214.93130737972	231.286350733442
"143"	"Culicidae"	"Art1"	"Onset"	175.057591541385	185.647856394124	198.508365932376
"144"	"Culicidae"	"Art1"	"Peak"	184.379285043464	199.663274850362	212.19043783952
"145"	"Empididae"	"Art1"	"End"	205.371831470583	205.371831470583	205.371831470583
"146"	"Empididae"	"Art1"	"Onset"	184.113677931147	184.113677931147	184.113677931147
"147"	"Empididae"	"Art1"	"Peak"	193.246842749762	193.246842749762	193.246842749762
"148"	"Ichneumonidae"	"Art1"	"End"	204.767697939854	215.104650381902	226.096275302882
"149"	"Ichneumonidae"	"Art1"	"Onset"	181.607049907474	187.483741003798	196.846205996247
"150"	"Ichneumonidae"	"Art1"	"Peak"	193.381724375053	200.035637772845	209.162675345481
"151"	"Ichneumonidae"	"Art2"	"End"	200.101008706667	216.531101542414	231.14707606965
"152"	"Ichneumonidae"	"Art2"	"Onset"	170.823576787212	187.295167046999	201.039529153569
"153"	"Ichneumonidae"	"Art2"	"Peak"	189.953159926838	200.816193640062	217.325827341422
